Title	Authors
FAST-EQA: Efficient Embodied Question Answering with Global and Local Region Relevancy	Haochen Zhang , Nirav Savaliya , Faizan Siddiqui , Enna Sachdeva
Mobile-Oriented Video Diffusion: Enabling Text-to-Video Generation on Mobile Devices Without Retraining, Compression, or Pruning	Bosung Kim , Kyuhwan Lee , Isu Jeong , Jungmin Cheon , Yeojin Lee , Seulki Lee
Understanding Generative AI Capabilities in Everyday Image Editing Tasks	Brandon Collins , Mohammad Reza Taesiri , Logan Bolton , Viet Lai , Franck Dernoncourt , Trung Bui , Anh Nguyen
TalkingPose: Efficient Face and Gesture Animation with Feedback-guided Diffusion Model	Alireza Javanmardi , Pragati Jaiswal , Tewodros Habtegebrial , Christen Millerdurai , Shaoxiang Wang , Alain Pagani , Didier Stricker
Conversational Image Generation: Towards Multi-Round Personalized Generation with Multi-Modal Language Models	Haochen Zhang , Animesh Sinha , Felix Juefei-Xu , Haoyu Ma , Kunpeng Li , Zhipeng Fan , Xiaoliang Dai , Tingbo Hou , Peizhao Zhang , Zecheng He
UniCalib: Targetless LiDAR-camera Calibration via Probabilistic Flow on Unified Depth Representations	Shu Han , Xubo Zhu , Ji Wu , Ximeng Cai , Wen Yang , Huai Yu , Gui-Song Xia
DOODLE: Diffusion-based Out-of-Distribution Learning for Open-set LiDAR Semantic Segmentation	Changgyoon Oh , Hyeonseong Kim , Daehyun We , Jongoh Jeong , Yujeong Chae , Kuk-Jin Yoon
Conditional Text-to-Image Generation with Reference Guidance	Taewook Kim , Ze Wang , Zhengyuan Yang , Jiang Wang , Lijuan Wang , Zicheng Liu , Qiang Qiu
Logit-Adjusted Test-Time Adaptation under Partial Class Imbalance	Thilina Weerasinghe , Ruwan Tennakoon , WeiQin Chuah , Alireza Bab-Hadiashar
From SAM to DINOv2: Towards Distilling Foundation Models to Lightweight Baselines for Generalized Polyp Segmentation	Shivanshu Agnihotri , Snehashis Majhi , Deepak Nayak , Debesh Jha
Leveraging Pretrained Representations for Cross-Modal Point Cloud Completion	Kshitij Kale , Hrishikesh U , V Sreenidhe , Shylaja S
RPT-SR: Regional Prior attention Transformer for infrared image Super-Resolution	Youngwan Jin , Incheol Park , Yagiz Nalcakan , Hyeongjin Ju , Sang Yeo , Shiho Kim
CropAT: Leveraging Diffusion-Generated Target-Like Cropped Objects for Pseudo-Label Refinement in Domain-Adaptive Object Detection	Chen-Che Huang , Tzuhsuan Huang , Jun-Cheng Chen
ArchitectHead: Continuous Level of Detail Control for 3D Gaussian Head Avatars	Peizhi Yan , Rabab Ward , Qiang Tang , Shan Du
TimeRefine: Temporal Grounding with Time Refining Video LLM	Xizi Wang , Feng Cheng , Ziyang Wang , Huiyu Wang , Md Mohaiminul Islam , Lorenzo Torresani , Mohit Bansal , Gedas Bertasius , David Crandall
Reviving Unsupervised Optical Flow: Concept Reevaluation, Multi-Scale Advances and Full Open-Source Release	Azin Jahedi , Marc Rivinius , Noah Senn , Andres Bruhn
EllipssianNet: Image-guided Sampling of 2D Gaussians for Gaussian Splatting	MyoungGon Kim , JeongHyeon Ahn , Seohyeon Park , Hyemi Kim , Seunghyun Park , Jung Hwang , JungHyun Han
MaxInfo: A Training-Free Key-Frame Selection Method Using Maximum Volume for Enhanced Video Understanding	Pengyi Li , Irina Abdullaeva , Alexander Gambashidze , Andrei Kuznetsov , Ivan Oseledets
Splatter Layout: Geometry-embedded 3D Reconstruction via Surface Unfolding	Bryan Heryanto , Tackgeun You , Chanwoo Kim , Hwasup Lim
Relevance-aware Multi-context Contrastive Decoding for Retrieval-augmented Visual Question Answering	Jongha Kim , Byungoh Ko , Jeehye Na , Jinsung Yoon , Hyunwoo Kim
Unsupervised Discovery of Long-Term Spatiotemporal Periodic Workflows in Human Activities	Fan Yang , Quanting Xie , Atsunori Moteki , Shoichi Masui , Shan Jiang , Kanji Uchino , Yonatan Bisk , Graham Neubig
Ordinal-Aware Multimodal Engagement Recognition for Collaborative Learning	Nha Tran , Dat Ly , Phi Ta , Hung Nguyen , Hien Nguyen
MedROV: Towards Real-Time Open-Vocabulary Detection Across Diverse Medical Imaging Modalities	Tooba Tehreem Sheikh , Jean Lahoud , Rao Anwer , Fahad Khan , Salman Khan , Hisham Cholakkal
From Darkness to Detail: Frequency-Aware SSMs for Low-Light Vision	Eashan Adhikarla , Kai Zhang , Gong Chen , John Nicholson , Brian Davison
Dragonite: Single-Step Drag-based Image Editing with Geometric-Semantic Guidance	Meng-Ting Jhong , Tai-Ming Huang , Shang-Fu Chen , Wen-Huang Cheng , Kailung Hua
Action Anticipation at a Glimpse: To What Extent Can Multimodal Cues Replace Video?	Manuel Benavent-Lledo , Konstantinos Bacharidis , Victoria Manousaki , Konstantinos Papoutsakis , Antonis Argyros , José García-Rodríguez
NERVE: Neighbourhood & Entropy-Guided Random-Walk for Training Free Open-Vocabulary Segmentation	KUNAL MAHATHA , Jose Dolz , Christian Desrosiers
2S-CEDiff: A Two-Stage Diffusion Framework for Generating High-Fidelity Contrast-Enhanced CT Images from Non-Contrast Scans	Yi-Bang Wu , Tzung-Dau Wang , Shang-Hong Lai
INRetouch: Context Aware Implicit Neural Representation for Photography Retouching	Omar Elezabi , Marcos Conde , Zongwei Wu , Radu Timofte
Optimization-Free Style Transfer for 3D Gaussian Splats	Raphael DuSablon , David Hart
Streaming Real-Time Trajectory Prediction Using Endpoint-Aware Modeling	Alexander Prutsch , David Schinagl , Horst Possegger
Performance of Conformal Prediction in Capturing Aleatoric Uncertainty	Misgina Tsighe Hagos , Claes Lundström
Multi-Modal Soccer Scene Analysis with Masked Pre-Training	Marc Peral , Guillem Capellera , Luis Ferraz , Antonio Romano , Antonio Agudo
GroupPortrait: Multi-ID Portrait Generation with High Identity Preservation and Fine-Grained Control	Meijia Huang , Ruida Li , Bing Ma , Liangwei Jiang , Shuo Fang , Chenguang Ma
From Prompt to Production: Automating Brand-Safe Marketing Imagery with Text-to-Image Models	Parmida Atighehchain , Henry Wang , Andrei Kapustin , Boris Lerner , Tiancheng Jiang , Taylor Jensen , Negin Sokhandan
GateFusion: Hierarchical Gated Cross-Modal Fusion for Active Speaker Detection	Yu Wang , Juhyung Ha , Frangil Ramirez , Yuchen Wang , David Crandall
IDEAL-M3D: Instance Diversity-Enriched Active Learning for Monocular 3D Detection	Johannes Meier , Florian Günther , Riccardo Marin , Oussema Dhaouadi , Jacques Kaiser , Daniel Cremers
Gene-DML: Dual-Pathway Multi-Level Discrimination for Gene Expression Prediction from Histopathology Images	Yaxuan Song , Jianan Fan , Hang Chang , Weidong Cai
SceneEdited: A City-Scale Benchmark for 3D HD Map Updating via Image-Guided Change Detection	Chun-Jung Lin , Tat-Jun Chin , Sourav Garg , Feras Dayoub
Sketch2Stitch: GANs for Abstract Sketch-Based Dress Synthesis	Faizan Khan , Faizan Khan , Davide Morelli , Marcella Cornia , Rita Cucchiara , Mohamed Elhoseiny
Mixed Diffusion for 3D Indoor Scene Synthesis	Siyi Hu , Diego Martín Arroyo , Stephanie Debats , Fabian Manhardt , Luca Carlone , Federico Tombari
Predicting Task fMRI Contrasts from Resting-State fMRI Using Sparse 3D Convolutions	Ivan Sviridov , Maria Boyko , Maksim Sharaev
FreeCond: Free Lunch in the Input Conditions of Text-Guided Inpainting	Teng-Fang Hsiao , Bo-Kai Ruan , Sung-Lin Tsai , Yi-Lun Wu , Hong-Han Shuai
Leveraging Semantic Attribute Binding for Free-Lunch Color Control in Diffusion Models	Héctor Laria , Alexandra Gomez-Villa , Jiang Qin , Muhammad Atif Butt , Bogdan Raducanu , Javier Vazquez-Corral , Joost van de Weijer , Kai Wang
Unified Alignment Protocol: Making Sense of the Unlabeled Data in New Domains	Sabbir Ahmed , Mamshad Nayeem Rizve , Abdullah Al Arafat , Jacqueline Liu , Rahim Hossain , Mohaiminul Nahian , Adnan Siraj Rakin
AFRAgent : An Adaptive Feature Renormalization Based High Resolution Aware GUI agent	Neeraj Anand , Rishabh Jain , Sohan Patnaik , Balaji Krishnamurthy , Mausoom Sarkar
MorphXAI: An Explainable Framework for Morphological Analysis of Parasites in Blood Smear Images	Aqsa Yousaf , Sint Sint Win , Megan Coffee , Habeeb Olufowobi
Reconstructing Realistic and Relightable Eyes	Wesley Khademi , Jogendra Nath Kundu , Yatong An , Alexander Fix , David Colmenares
MomentMix Augmentation with Length-Aware DETR for Temporally Robust Moment Retrieval	Seojeong Park , Jiho Choi , Kyungjune Baek , Hyunjung Shim
Learning Group Actions In Disentangled Latent Image Representations	Farhana Hossain Swarnali , Miaomiao Zhang , TONMOY HOSSAIN
Context-Preserving Dermoscopic Editing: Mask-Guided Lesion-Aware Diffusion for Attribute Modification	Tao Sun , Yun Jiang , Yarong Jin , Huanting Guo , Zequn Zhang
SceneShine: Illumination-aware Human Scene Gaussian Re-Splatting from Mobile Device Video	Xuqian Ren , Wenjia Wang , Mai Nguyen , Juho Kannala , Esa Rahtu
WarpRF: Multi-View Consistency for Training-Free Uncertainty Quantification and Applications in Radiance Fields	Sadra Safadoust , Fabio Tosi , Fatma Güney , Matteo Poggi
Trajectory Tactics: When Transformers Learn  Exploration to Generate Online Signature	Anurag Pandey , Aditya Nigam , Arnav Bhavsar , Ashutosh Sharma , Basu Verma , Divya Acharya , Mohd Amir
A Multi-Agent Diffusion Approach for MRI Anomaly Segmentation via Modality-Specific LoRA Specialization	Wafa Ghallabi , Muhammad Zaigham Zaheer , Ritesh Thawkar , Omkar Thawakar , Salman Khan , Fahad Khan
ChameleonTuner: Automatic ISP Color Tuning in Subjective Scenarios	Zijie Tan , Yuxin Yue , Bahador Rashidi
Sketch-guided Cage-based 3D Gaussian Splatting Deformation	Tianhao Xie , Noam Aigerman , Eugene Belilovsky , Tiberiu Popa
CONSTANT: Towards High-Quality One-Shot Handwriting Generation with Patch Contrastive Enhancement and Style-Aware Quantization	Anh-Duy Le , Van Pham , Thanh Vo , Mai Toan , Tuan-Anh Tran
AugMapNet: Improving Spatial Latent Structure via BEV Grid Augmentation for Enhanced Vectorized Online HD Map Construction	Thomas Monninger , Md Zafar Anwar , Stanislaw Antol , Steffen Staab , Sihao Ding
DiT-VTON: Diffusion Transformer Framework for Unified Multi-Category Virtual Try-On and Virtual Try-All with Integrated Image Editing	Qi Li , Shuwen Qiu , Kee Kiat Koo , Julien Han , Karim Bouyarmane
Denoise, Divide, Distill, and Predict (D3P): Towards Forecasting Long-horizon Real-world Anomaly from Normalcy	Quentin Mérilleau , Snehashis Majhi , Antitza Dantcheva , Quan Kong , Lorenzo Garattoni , Gianpiero Francesca , Francois Bremond
Efficient Vision Transformers via Token Merging with Head-wise Attention Correction	Yuki Ichikawa , Masato Motomura , Thiem Chu , Daichi Fujiki
Splannequin: Freezing Monocular Mannequin-Challenge Footage with Dual-Detection Splatting	Hao-Jen Chien , Yi-Chuan Huang , Chung-Ho Wu , Wei-Lun Chao , Yu-Lun Liu
MixER: From Cross-Modal to Mixed-Modal Visible-Infrared Re-Identification	Alehdaghi , Rajarshi Bhattacharya , Dai Yannick , Pourya Shamsolmoali , Rafael M. O. Cruz , Eric Granger
BiNAR: A Bi-Modal Framework for Non-Aligned RGB-IR 3D Reconstruction via Gaussian Splatting	Zhongwen Wang , Han Ling , Weihao Zhang , Yinghui Sun , Quansen Sun
Uncertainty-Aware Vision-Language Segmentation for Medical Imaging	Aryan Das , Tanishq Rachamalla , Koushik Biswas , Swalpa Roy , Vinay Verma
DMAT: An End-to-End Framework for Joint Atmospheric Turbulence Mitigation and Object Detection	Paul Hill , Zhiming Liu , Alin Achim , David Bull , Nantheera Anantrasirichai
Cluster-based Pseudo-labeling for Semi-Supervised LiDAR Semantic Segmentation	Qingju Guo , Shuang Li , Jing Geng , Binhui Xie , Jiawei Shan , Wei Li
Semantic Map Guided Bird's-Eye View Learning for Online HD Map Construction	Huantao Ren , Hesham Eraqi , ABM Musa , Mohamed Moustafa
SilverLining: Data-First Mitigation of Spatial and Spectral Shortcuts Without Introducing New Confounders	Balagopal Unnikrishnan , Michael Brudno , Chris McIntosh
HyPCA-Net: Advancing Multimodal Fusion in Medical Image Analysis	Joy Dhar , Manish Pandey , Debashis Das Chakladar , Maryam Haghighat , Azadeh Alavi , Sajib Mistry , Nayyar Zaidi
Causality-Driven Audits of Model Robustness	Nathan Drenkow , William Paul , Christopher Ribaudo , Mathias Unberath
KD360-VoxelBEV: LiDAR and 360-degree Camera Cross Modality Knowledge Distillation for Bird’s-Eye-View Segmentation	Wenke E , Yixin Sun , Jiaxu Liu , Hubert P. H. Shum , Amir Atapour-Abarghouei , Toby Breckon
Universal Neural Architecture Space: Covering ConvNets, Transformers and Everything in Between	Ondrej Tybl , Lukas Neumann
FALCONEye: Finding Answers and Localizing Content in ONE-hour-long videos with multi-modal LLMs	Carlos Plou , Cesar Borja , Ruben Martinez-Cantin , Ana Murillo
SmokeBench: Evaluating Multimodal Large Language Models for Wildfire Smoke Detection	Tianye Qi , Weihao Li , Nick Barnes
Anatomically-guided masked autoencoder pre-training for aneurysm detection	Alberto Mario Ceballos Arroyo , Jisoo Kim , Chu-Hsuan Lin , Lei Qin , Geoffrey Young , Huaizu Jiang
SCAdapter: Content-Style Disentanglement for Diffusion Style Transfer	Meryem Taşyürek , Tuğçe Kızıltepe , Hacer Keles
Disentangle and Regularize: Sign Language Production with Articulator-Based Disentanglement and Channel-Aware Regularization	Meryem Taşyürek , Tuğçe Kızıltepe , Hacer Keles
