Title	Authors
R-MMA: Enhancing Vision-Language Models with Recurrent Adapters for Few-Shot and Cross-Domain Generalization	Md Fahim , Md Ishmam , Mir Sazzat Hossain , M Ashraful Amin , Amin Ali , A K M Mahbubur Rahman
OPFormer: Object Pose Estimation leveraging foundation model with geometric encoding	Artem Moroz , Vít Zeman , Martin Mikšík , Elizaveta Isianova , Miroslav David , Pavel Burget , Varun Burde
Robust Scene Coordinate Regression via Geometrically-Consistent Global Descriptors	Son Tung Nguyen , Alejandro Fontan , Michael Milford , Tobias Fischer
SphereEdit: Spherical Semantic Editing in Diffusion Models	Salamata Konate , Hassan Hamidi , Elham Dolatabadi , Frank Rudzicz , Laleh Seyyed-Kalantari
NoHumansRequired: Autonomous High-Quality Image Editing Triplet Mining	Maksim Kuprashevich , Grigorii Alekseenko , Irina Tolstykh , Georgii Fedorov , Bulat Suleimanov , Vladimir Dokholyan , Aleksandr Gordeev
An improved architecture for part-based animal re-identification through semantic segmentation distillation	Eugênio Dias Ribeiro Neto , Marc Chaumont , Gérard Subsol , Michel Garine-Wichatitsky , Hélène Guis
ProtoGMVAE: A Variational Auto-Encoder with True Gaussian Mixture Prior for Prototypical-based Self-Explainability	Martin Blanchard , Christophe Ducottet , Damien Muselet , Olivier Delézay
Stabilizing Direct Training of Spiking Neural Networks: Membrane Potential Initialization and Threshold-robust Surrogate Gradient	Hyunho Kook , Byeongho Yu , Jeong Oh , Eunhyeok Park
MR-Pruner: Training-free Multi-resolution Visual Token Pruning for Multi-modal Large Language Models	Seunghoon Han , Hyewon Lee , Soyoung Park , Jong-Ryul Lee , Sungsu Lim
Uncertainty-Aware Subset Selection for Robust Visual Explainability under Distribution Shifts	Madhav Gupta , Vishak Prasad C , Ganesh Ramakrishnan
MemeTAG: Keyword-Driven Meme Classification through Tag Embedding Reconstruction	Akshit Sharma , Prashant Patil
Understanding the Visual Projection Space of Multimodal LLMs	SungHeon Jeong , Yoojeong Song , Yoojeong Song
SSMT-Net: A Semi-Supervised Multitask Transformer-Based Network for Thyroid Nodule Segmentation in Ultrasound Images	Muhammad Umar Farooq , Abd Ur Rehman , Azka Rehman , Muhammad Usman , Dong-Kyu Chae
LooC: Effective Low-Dimensional Codebook for Compositional Vector Quantization	Jie Li , Kwan-Yee K. Wong , Kai Han
Quantifying the Limits of Segmentation Foundation Models: Modeling Challenges in Segmenting Tree-Like and Low-Contrast Objects	Yixin Zhang , Nicholas Konz , Kevin Kramer , Maciej Mazurowski
Fully Unsupervised Self-debiasing of Text-to-Image Diffusion Models	Korada Sri Vardhana , Shrikrishna Lolla , Soma Biswas
Histogram Assisted Quality Aware Generative Model for Resolution Invariant NIR Image Colorization	Abhinav Abhinav , Rajeev Ranjan Dwivedi , Samiran Das , Vinod Kurmi
Revisiting an Old Perspective Projection for Monocular 3D Morphable Models Regression	Toby Chong , Ryota Nakajima
CAPE: A CLIP-Aware Pointing Ensemble of Complementary Heatmap Cues for Embodied Reference Understanding	Fevziye Irem Eyiokur , Dogucan Yaman , Hazım Ekenel , Alexander Waibel
Augmenting with NeRFs: Fast Relocalization on Densified Datasets	Michael Tomadakis , Rebecca Borissova , Yuxuan Zhang , Sanjeev Koppal
Beyond the Highlights: Video Retrieval with Salient and Surrounding Contexts	Jaehun Bang , Moon Ye-Bin , Tae-Hyun Oh , Kyungdon Joo
iMotion-LLM: Instruction-Conditioned Trajectory Generation	Abdulwahab Felemban , Nussair Hroub , Jian Ding , Faizan Khan , Xiaoqian Shen , Abduallah Mohamed , Mohamed Elhoseiny
DreamMakeup: Face Makeup Customization using Latent Diffusion Models	Geon Yeong Park , Inhwa Han , Serin Yang , Yeobin Hong , Seongmin Jeong , Heechan Jeon , Myeongjin Goh , Sung Yi , Jin Nam , Jong Ye
An Efficient Multi-Rater Setup Towards Personalized and Diversified Medical Image Segmentation	Sajed Almorsy , Ayman Khalafallah , Marwan Torki
Salience-SGG: Enhancing Unbiased Scene Graph Generation with Iterative Salience Estimation	Runfeng Qu , Ole Hall , Pia Bideau , Julie Ouerfelli-Ethier , Martin Rolfs , Klaus Obermayer , Olaf Hellwich
CURIO: Curvature-Aligned and Efficient OCR for Low-Resource Historical Manuscripts	Sai Madhusudan Gunda , Tathagata Ghosh , Simran Sandral , Ravi Kiran Sarvadevabhatla
